tree_ID,bloc,treatment,genus,species,Notes,102,103,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_macrophyllum,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_macrophyllum,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_macrophyllum,,1,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_macrophyllum,,0,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B1_R3,1,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B1_R4,1,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B1_R5,1,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B2_R6,2,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B2_R7,2,WarmS/CoolF,acer,acer_macrophyllum,dead,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B2_R8,2,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B2_R9,2,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B2_R10,2,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B3_R11,3,WarmS/CoolF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B3_R12,3,WarmS/CoolF,acer,acer_macrophyllum,dead,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B3_R13,3,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B3_R14,3,WarmS/CoolF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/CoolF_B3_R15,3,WarmS/CoolF,acer,acer_macrophyllum,dead,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R1,1,WarmS/WarmF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R2,1,WarmS/WarmF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R3,1,WarmS/WarmF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R4,1,WarmS/WarmF,acer,acer_macrophyllum,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R5,1,WarmS/WarmF,acer,acer_macrophyllum,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R6,2,WarmS/WarmF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R7,2,WarmS/WarmF,acer,acer_macrophyllum,dead,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R8,2,WarmS/WarmF,acer,acer_macrophyllum,terminal buds seem dead,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R9,2,WarmS/WarmF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R10,2,WarmS/WarmF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R11,3,WarmS/WarmF,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R12,3,WarmS/WarmF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R13,3,WarmS/WarmF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R14,3,WarmS/WarmF,acer,acer_macrophyllum,dead,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R15,3,WarmS/WarmF,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R4_nitro,1,WarmS/WarmF_nitro,acer,acer_macrophyllum,dead,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B1_R5_nitro,1,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R6_nitro,2,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,acer,acer_macrophyllum,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R11_nitro,3,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R12_nitro,3,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R13_nitro,3,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R14_nitro,3,WarmS/WarmF_nitro,acer,acer_macrophyllum,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acma_WarmS/WarmF_B3_R15_nitro,3,WarmS/WarmF_nitro,acer,acer_macrophyllum,terminal buds seem dead,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_negundo,,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_negundo,,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B1_R3,1,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B1_R4,1,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B1_R5,1,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B2_R6,2,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B2_R7,2,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B2_R8,2,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B2_R9,2,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B2_R10,2,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B3_R11,3,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B3_R12,3,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B3_R13,3,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B3_R14,3,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/CoolF_B3_R15,3,WarmS/CoolF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R1,1,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R2,1,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R3,1,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R4,1,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R5,1,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R6,2,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R7,2,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R8,2,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R9,2,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R10,2,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B3_R11,3,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B3_R12,3,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B3_R13,3,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B3_R14,3,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B3_R15,3,WarmS/WarmF,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R4_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B1_R5_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R6_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Acne_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,NA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
